Product_Category,Product_Subcategory,Product_Brand,Product_Name,Product_Price,Size,Stock_Status,Product_Availability,Sku_Id,Brand_Status,Date,Retailer
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,84.3,50 ml,In stock,In Stock,16086004,Dior,2023-11-30,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,70,50 ml,In stock,In Stock,451793,Competitor,2023-11-30,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,78.2,50 ml,In stock,In Stock,16125478,Competitor,2023-11-30,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,80,50 ml,In stock,In Stock,16014084,Competitor,2023-11-30,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,77.5,50 ml,In stock,1 available,16143146,Competitor,2023-11-30,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,89,50 ml,In stock,In Stock,16086004,Dior,2023-12-01,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,70,50 ml,In stock,In Stock,451793,Competitor,2023-12-01,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,81.5,50 ml,In stock,In Stock,16125478,Competitor,2023-12-01,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,83.4,50 ml,In stock,In Stock,16014084,Competitor,2023-12-01,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-01,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,90.1,50 ml,In stock,In Stock,16086004,Dior,2023-12-02,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,70,50 ml,In stock,In Stock,451793,Competitor,2023-12-02,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,82.5,50 ml,In stock,In Stock,16125478,Competitor,2023-12-02,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,84.4,50 ml,In stock,In Stock,16014084,Competitor,2023-12-02,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-02,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,90.1,50 ml,In stock,In Stock,16086004,Dior,2023-12-03,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,72.1,50 ml,In stock,In Stock,451793,Competitor,2023-12-03,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,82.5,50 ml,In stock,In Stock,16125478,Competitor,2023-12-03,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,84.4,50 ml,In stock,In Stock,16014084,Competitor,2023-12-03,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-03,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,90.2,50 ml,In stock,In Stock,16086004,Dior,2023-12-04,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,72.1,50 ml,In stock,In Stock,451793,Competitor,2023-12-04,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,82.5,50 ml,In stock,In Stock,16125478,Competitor,2023-12-04,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,84.4,50 ml,In stock,In Stock,16014084,Competitor,2023-12-04,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-04,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,94.1,50 ml,In stock,In Stock,16086004,Dior,2023-12-05,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,72.1,50 ml,In stock,In Stock,451793,Competitor,2023-12-05,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,85.9,50 ml,In stock,In Stock,16125478,Competitor,2023-12-05,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,87.9,50 ml,In stock,In Stock,16014084,Competitor,2023-12-05,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-05,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,94.1,50 ml,In stock,In Stock,16086004,Dior,2023-12-06,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,72.1,50 ml,In stock,In Stock,451793,Competitor,2023-12-06,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,85.9,50 ml,In stock,In Stock,16125478,Competitor,2023-12-06,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,87.9,50 ml,In stock,In Stock,16014084,Competitor,2023-12-06,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-06,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,94.1,50 ml,In stock,In Stock,16086004,Dior,2023-12-07,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,76.1,50 ml,In stock,In Stock,451793,Competitor,2023-12-07,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,90.4,50 ml,In stock,In Stock,16125478,Competitor,2023-12-07,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,92.5,50 ml,In stock,In Stock,16014084,Competitor,2023-12-07,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-07,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,94.1,50 ml,In stock,In Stock,16086004,Dior,2023-12-08,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,77,50 ml,In stock,In Stock,451793,Competitor,2023-12-08,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,91.3,50 ml,In stock,In Stock,16125478,Competitor,2023-12-08,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,92.5,50 ml,In stock,In Stock,16014084,Competitor,2023-12-08,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-08,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,94.1,50 ml,In stock,In Stock,16086004,Dior,2023-12-10,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,77,50 ml,In stock,In Stock,451793,Competitor,2023-12-10,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,91.3,50 ml,In stock,In Stock,16125478,Competitor,2023-12-10,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,92.5,50 ml,In stock,In Stock,16014084,Competitor,2023-12-10,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-10,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,94.1,50 ml,In stock,In Stock,16086004,Dior,2023-12-11,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,77,50 ml,In stock,In Stock,451793,Competitor,2023-12-11,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,91.3,50 ml,In stock,In Stock,16125478,Competitor,2023-12-11,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,92.5,50 ml,In stock,In Stock,16014084,Competitor,2023-12-11,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-11,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,94.1,50 ml,In stock,In Stock,16086004,Dior,2023-12-12,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,77,50 ml,In stock,In Stock,451793,Competitor,2023-12-12,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,91.3,50 ml,In stock,In Stock,16125478,Competitor,2023-12-12,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,92.5,50 ml,In stock,In Stock,16014084,Competitor,2023-12-12,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-12,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,94.1,50 ml,In stock,In Stock,16086004,Dior,2023-12-13,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,77,50 ml,In stock,In Stock,451793,Competitor,2023-12-13,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,91.3,50 ml,In stock,In Stock,16125478,Competitor,2023-12-13,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,92.5,50 ml,In stock,In Stock,16014084,Competitor,2023-12-13,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-13,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,94.1,50 ml,In stock,In Stock,16086004,Dior,2023-12-15,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,77,50 ml,In stock,In Stock,451793,Competitor,2023-12-15,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,91.3,50 ml,In stock,In Stock,16125478,Competitor,2023-12-15,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,92.5,50 ml,In stock,In Stock,16014084,Competitor,2023-12-15,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-15,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,94.1,50 ml,In stock,In Stock,16086004,Dior,2023-12-17,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,77,50 ml,In stock,In Stock,451793,Competitor,2023-12-17,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,91.3,50 ml,In stock,In Stock,16125478,Competitor,2023-12-17,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,92.5,50 ml,In stock,In Stock,16014084,Competitor,2023-12-17,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-17,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,94.1,50 ml,In stock,In Stock,16086004,Dior,2023-12-19,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,77,50 ml,In stock,In Stock,451793,Competitor,2023-12-19,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,64.6,50 ml,In stock,In Stock,16125478,Competitor,2023-12-19,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,92.5,50 ml,In stock,In Stock,16014084,Competitor,2023-12-19,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-19,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,94.3,50 ml,In stock,In Stock,16086004,Dior,2023-12-20,Notino
Fragrance,Womens Fragrance,yves saint laurent,Black Opium eau de parfum for women,77,50 ml,In stock,In Stock,451793,Competitor,2023-12-20,Notino
Fragrance,Womens Fragrance,giorgio armani,My Way Floral eau de parfum refillable for women,64.6,50 ml,In stock,In Stock,16125478,Competitor,2023-12-20,Notino
Fragrance,Womens Fragrance,lancome,La Vie Est Belle Intensément eau de parfum for women,92.5,50 ml,In stock,In Stock,16014084,Competitor,2023-12-20,Notino
Fragrance,Womens Fragrance,prada,Paradoxe eau de parfum refillable for women,0,50 ml,Out of Stock,This item is currently unavailable,16143146,Competitor,2023-12-20,Notino
Fragrance,Womens Fragrance,christian dior,Miss Dior eau de parfum for women,94.3,50 ml,In stock,In Stock,16086004,Dior,2023-12-21,Notino
